year,group,value
1725,Levant & Barbarie,2896626
1725,Italie & Espagne,1924148
1725,"Nord, Hollande & Flandres",125796
1725,total,4946572.30855334
1726,Levant & Barbarie,2463485
1726,Italie & Espagne,2655918
1726,"Nord, Hollande & Flandres",121992
1726,total,5241396.102523374
1727,Levant & Barbarie,3543962
1727,Angleterre & Amérique du Nord,6892
1727,Italie & Espagne,3039549
1727,Colonies françaises,3172479
1727,"Nord, Hollande & Flandres",217896
1727,total,9980779.917532297
1728,Levant & Barbarie,3474014
1728,Angleterre & Amérique du Nord,8324
1728,Italie & Espagne,3337230
1728,Colonies françaises,1318732
1728,"Nord, Hollande & Flandres",221720
1728,total,8360022.2490085745
1729,Levant & Barbarie,2638840
1729,Italie & Espagne,3304026
1729,Colonies françaises,2318735
1729,"Nord, Hollande & Flandres",233464
1729,total,8495067.3833482
1730,Levant & Barbarie,2540378
1730,Italie & Espagne,2372282
1730,Colonies françaises,1691047
1730,"Nord, Hollande & Flandres",193550
1730,total,6797259.133108479
1731,Levant & Barbarie,3015091
1731,Italie & Espagne,3117086
1731,Colonies françaises,2298264
1731,"Nord, Hollande & Flandres",259992
1731,total,8690435.210432697
1732,Levant & Barbarie,3155912
1732,Italie & Espagne,3742373
1732,Colonies françaises,2382649
1732,"Nord, Hollande & Flandres",269472
1732,total,9550408.90760288
1733,Levant & Barbarie,3333111
1733,Italie & Espagne,5594543
1733,Colonies françaises,1530975
1733,"Nord, Hollande & Flandres",301946
1733,total,10760576.18320176
1735,Levant & Barbarie,3394796
1735,Italie & Espagne,4570927
1735,Colonies françaises,3827881
1735,"Nord, Hollande & Flandres",287963
1735,total,12081569.7535745
1736,Levant & Barbarie,3541775
1736,Italie & Espagne,5737106
1736,Colonies françaises,4372470
1736,"Nord, Hollande & Flandres",432201
1736,total,14083554.565514365
1737,Levant & Barbarie,4006428
1737,Italie & Espagne,6634446
1737,Colonies françaises,7895668
1737,"Nord, Hollande & Flandres",375051
1737,total,18911595.556100316
1738,Levant & Barbarie,4010867
1738,Italie & Espagne,8213492
1738,Colonies françaises,4089489
1738,"Nord, Hollande & Flandres",335288
1738,total,16649138.651283223
1739,Levant & Barbarie,14365740
1739,Italie & Espagne,12111192
1739,Colonies françaises,6419144
1739,"Nord, Hollande & Flandres",1779040
1739,total,34675117.0147956
1740,Levant & Barbarie,18271510
1740,Angleterre & Amérique du Nord,250048
1740,Italie & Espagne,21085769
1740,Colonies françaises,6075980
1740,"Nord, Hollande & Flandres",3802383
1740,total,49485692.83599193
1741,Levant & Barbarie,16148356
1741,Angleterre & Amérique du Nord,229534
1741,Italie & Espagne,22849542
1741,Colonies françaises,9959662
1741,"Nord, Hollande & Flandres",2794348
1741,total,51981444.31035002
1742,Levant & Barbarie,16708807
1742,Angleterre & Amérique du Nord,734061
1742,Italie & Espagne,22888502
1742,Colonies françaises,9139656
1742,"Nord, Hollande & Flandres",2705192
1742,total,52176220.79880458
1743,Levant & Barbarie,20749423
1743,Angleterre & Amérique du Nord,544242
1743,Italie & Espagne,27731392
1743,Colonies françaises,10464361
1743,"Nord, Hollande & Flandres",4749436
1743,total,64238856.881133206
1744,Levant & Barbarie,13077707
1744,Angleterre & Amérique du Nord,240211
1744,Italie & Espagne,12171228
1744,Colonies françaises,3923791
1744,"Nord, Hollande & Flandres",2785809
1744,total,32198747.948294297
1745,Levant & Barbarie,14612617
1745,Angleterre & Amérique du Nord,94151
1745,Italie & Espagne,15283744
1745,Colonies françaises,2550504
1745,"Nord, Hollande & Flandres",3094146
1745,total,35635165.03908121
1746,Levant & Barbarie,12184386
1746,Angleterre & Amérique du Nord,99150
1746,Italie & Espagne,15425285
1746,Colonies françaises,2306952
1746,"Nord, Hollande & Flandres",2864526
1746,total,32880300.461018704
1747,Levant & Barbarie,14160895
1747,Angleterre & Amérique du Nord,177510
1747,Italie & Espagne,18352892
1747,"Nord, Hollande & Flandres",2908742
1747,total,35600040.11585111
1748,Levant & Barbarie,12198221
1748,Angleterre & Amérique du Nord,1769513
1748,Italie & Espagne,21914216
1748,Colonies françaises,1605173
1748,"Nord, Hollande & Flandres",2634979
1748,total,40122103.95795721
1749,Levant & Barbarie,24155996
1749,Angleterre & Amérique du Nord,9786990
1749,Italie & Espagne,34932356
1749,Colonies françaises,8789419
1749,"Nord, Hollande & Flandres",10568690
1749,total,88233454.24000002
1751,Levant & Barbarie,27875163
1751,Angleterre & Amérique du Nord,4074300
1751,Italie & Espagne,22812623
1751,Colonies françaises,5039098
1751,"Nord, Hollande & Flandres",7823028
1751,total,67624214.96659152
1752,Levant & Barbarie,25527907
1752,Angleterre & Amérique du Nord,2473009
1752,Italie & Espagne,27185325
1752,Colonies françaises,8608372
1752,"Nord, Hollande & Flandres",8742215
1752,total,72536829.71123928
1753,Levant & Barbarie,30340669
1753,Angleterre & Amérique du Nord,1205231
1753,Italie & Espagne,21070695
1753,Colonies françaises,8477208
1753,"Nord, Hollande & Flandres",6637508
1753,total,67731312.8675276
1754,Levant & Barbarie,27282001
1754,Angleterre & Amérique du Nord,1169744
1754,Italie & Espagne,25028305
1754,Colonies françaises,12803822
1754,"Nord, Hollande & Flandres",7928888
1754,total,74212763.01663025
1755,Levant & Barbarie,31934232
1755,Angleterre & Amérique du Nord,1033654
1755,Italie & Espagne,28008476
1755,Colonies françaises,12388405
1755,"Nord, Hollande & Flandres",6055680
1755,total,79420447.92118071
1756,Levant & Barbarie,20853924
1756,Angleterre & Amérique du Nord,130505
1756,Italie & Espagne,23422989
1756,Colonies françaises,2234501
1756,"Nord, Hollande & Flandres",4175714
1756,total,50817634.884949565
1757,Levant & Barbarie,21684462
1757,Angleterre & Amérique du Nord,459068
1757,Italie & Espagne,25634708
1757,Colonies françaises,146688
1757,"Nord, Hollande & Flandres",5433575
1757,total,53358505.38187696
1758,Levant & Barbarie,11199276
1758,Angleterre & Amérique du Nord,205665
1758,Italie & Espagne,22193706
1758,Colonies françaises,18950
1758,"Nord, Hollande & Flandres",3219678
1758,total,36837276.13591482
1759,Levant & Barbarie,8711328
1759,Italie & Espagne,24404740
1759,Colonies françaises,263367
1759,"Nord, Hollande & Flandres",4861973
1759,total,38241410.691821605
1760,total,0
1761,Levant & Barbarie,10576596
1761,Angleterre & Amérique du Nord,121369
1761,Italie & Espagne,30500493
1761,"Nord, Hollande & Flandres",6781378
1761,total,47979838.72922086
1762,Levant & Barbarie,25847254
1762,Angleterre & Amérique du Nord,303926
1762,Italie & Espagne,25818088
1762,Colonies françaises,1536270
1762,"Nord, Hollande & Flandres",4850808
1762,total,58356347.295732476
1763,Levant & Barbarie,28660119
1763,Angleterre & Amérique du Nord,927393
1763,Italie & Espagne,32183428
1763,Colonies françaises,21107810
1763,"Nord, Hollande & Flandres",6888374
1763,total,89767126.8384973
1764,Levant & Barbarie,33671074
1764,Angleterre & Amérique du Nord,1121381
1764,Italie & Espagne,28590139
1764,Colonies françaises,16032339
1764,"Nord, Hollande & Flandres",5683173
1764,total,85098107.90470757
1765,Levant & Barbarie,26961958
1765,Angleterre & Amérique du Nord,833800
1765,Italie & Espagne,30482798
1765,Colonies françaises,16772142
1765,"Nord, Hollande & Flandres",4878080
1765,total,79928781.17570402
1766,Levant & Barbarie,28727120
1766,Angleterre & Amérique du Nord,996199
1766,Italie & Espagne,29332831
1766,Colonies françaises,15233184
1766,"Nord, Hollande & Flandres",6621421
1766,total,80910757.86589214
1767,Levant & Barbarie,30196666
1767,Angleterre & Amérique du Nord,1453545
1767,Italie & Espagne,33149524
1767,Colonies françaises,15713062
1767,"Nord, Hollande & Flandres",5833989
1767,total,86346788.65913217
1768,Levant & Barbarie,36841976
1768,Angleterre & Amérique du Nord,631801
1768,Italie & Espagne,35541952
1768,Colonies françaises,14832167
1768,"Nord, Hollande & Flandres",5325117
1768,total,93173015.27424042
1769,Levant & Barbarie,34880045
1769,Angleterre & Amérique du Nord,980424
1769,Italie & Espagne,26225262
1769,Colonies françaises,15723153
1769,"Nord, Hollande & Flandres",4953545
1769,total,82762431.8833999
1770,Levant & Barbarie,32728211
1770,Angleterre & Amérique du Nord,1244772
1770,Italie & Espagne,31745826
1770,Colonies françaises,16921071
1770,"Nord, Hollande & Flandres",6221725
1770,total,88861607.23503114
1771,Levant & Barbarie,35888750
1771,Angleterre & Amérique du Nord,1303138
1771,Italie & Espagne,39938354
1771,Colonies françaises,13073987
1771,"Nord, Hollande & Flandres",7323122
1771,total,97527353.57682055
1772,Levant & Barbarie,32023956
1772,Angleterre & Amérique du Nord,989058
1772,Italie & Espagne,30335002
1772,Colonies françaises,18598717
1772,"Nord, Hollande & Flandres",10147713
1772,total,92094448.76964861
1773,Levant & Barbarie,36308973
1773,Angleterre & Amérique du Nord,2097400
1773,Italie & Espagne,40757653
1773,Colonies françaises,21230042
1773,"Nord, Hollande & Flandres",7815008
1773,total,108209078.53882226
1774,Levant & Barbarie,25656920
1774,Angleterre & Amérique du Nord,1633440
1774,Italie & Espagne,24326918
1774,Colonies françaises,20112082
1774,"Nord, Hollande & Flandres",9304648
1774,total,81034010.6166285
1775,Levant & Barbarie,25163443
1775,Angleterre & Amérique du Nord,2397020
1775,Italie & Espagne,29859782
1775,Colonies françaises,16936774
1775,"Nord, Hollande & Flandres",5770921
1775,total,80127942.99381651
1776,Levant & Barbarie,27351699
1776,Angleterre & Amérique du Nord,1273574
1776,Italie & Espagne,46582556
1776,Colonies françaises,22254355
1776,"Nord, Hollande & Flandres",7446812
1776,total,104908999.16201356
1777,Levant & Barbarie,27604526
1777,Angleterre & Amérique du Nord,282045
1777,Italie & Espagne,35374780
1777,Colonies françaises,19473531
1777,"Nord, Hollande & Flandres",7108189
1777,total,89843072.74581158
1778,Levant & Barbarie,13749698
1778,Angleterre & Amérique du Nord,141865
1778,Italie & Espagne,29731856
1778,Colonies françaises,15356258
1778,"Nord, Hollande & Flandres",5556925
1778,total,64536603.70214123
1779,Levant & Barbarie,19823847
1779,Italie & Espagne,27444088
1779,Colonies françaises,3447214
1779,"Nord, Hollande & Flandres",4775101
1779,total,55490251.31357412
1780,Levant & Barbarie,23148652
1780,Italie & Espagne,32168394
1780,Colonies françaises,6205315
1780,"Nord, Hollande & Flandres",3905881
1780,total,65428244.06186197
1789,Levant & Barbarie,39501030
1789,Angleterre & Amérique du Nord,2101373
1789,Italie & Espagne,83943137
1789,Colonies françaises,31770870
1789,"Nord, Hollande & Flandres",6365855
1789,total,163682267.68456197
1750,Levant & Barbarie,27495758
1750,Angleterre & Amérique du Nord,6165935
1750,Italie & Espagne,23492869
1750,Colonies françaises,8107783
1750,"Nord, Hollande & Flandres",10720290
1750,total,75982636.59665269
