origin,value,scope
colonies,24912626.0,Marseille
Provence,8983025.09,Marseille
inconnue,42376649.090179704,Marseille
Lyonnais,1538081.0,Marseille
Île-de-France,530604.0,Marseille
Dauphiné,153492.0,Marseille
Languedoc,749237.0,Marseille
Normandie,25460.0,Marseille
Champagne,30153.0,Marseille
Auvergne,88244.0,Marseille
Picardie,143473.0,Marseille
Touraine,1367.0,Marseille
Anjou,15120.0,Marseille
Maine,7612.0,Marseille
Nivernais,10023.0,Marseille
Bourgogne,150.0,Marseille
Normandie,7999604.24817124,France
Picardie,7098630.985757843,France
Maine,2727963.5,France
Champagne,6591383.246993716,France
Lyonnais,22701402.18246773,France
Provence,5506040.273657464,France
Île-de-France,8406572.34496564,France
Languedoc,11978274.70775674,France
Angoumois,6513607.80353188,France
inconnue,19028662.06182938,France
Guyenne,32836848.563112184,France
Bourgogne,1701675.5340052103,France
Artois,243524.0,France
Foix,1022639.2999625001,France
Béarn,2502799.7986709904,France
Anjou,3424424.7,France
Touraine,244011.251494,France
colonies,136453973.19989708,France
Bretagne,18965518.930812094,France
Auvergne,777201.25,France
Poitou,126338.0,France
Saintonge,617202.9011310299,France
Alsace,71435.0,France
Dauphiné,1697119.002684225,France
Orléanais,137736.2,France
Franche-Comté,4265071.535653243,France
Lorraine,110055.5002641,France
La Marche,5422.0,France
Aunis,1141707.1003384236,France
Berry,243666.88,France
Bourbonnais,6400.0,France
Nivernais,56188.0,France
Saint-Réal,3312.0,France
Roussillon,335765.77401686,France
Nord,235169.0,France
