annee,mileage,serie
1749,661.4491044124071,mileage_moyen
1749,610.002331002331,mileage_moyen_FR
1759,331.2050882658359,mileage_moyen
1759,252.18428571428572,mileage_moyen_FR
1769,684.9258620689656,mileage_moyen
1769,721.1830985915493,mileage_moyen_FR
1779,335.9392764857881,mileage_moyen
1779,239.46767050487156,mileage_moyen_FR
1787,609.6453276699029,mileage_moyen
1787,650.2216421452301,mileage_moyen_FR
1789,655.0412203829925,mileage_moyen
1789,743.2488619119879,mileage_moyen_FR
1799,145.4867882396725,mileage_moyen
1799,99.30755176613886,mileage_moyen_FR
