direction_ferme,kind,score,intercept,slope
Marseille,total,0.23262525484513763,-3.5752104603593864,0.012622607501155753
Marseille,imports,0.42345646792476044,-15.33841834311523,0.018938792920168642
Marseille,exports,0.042843788064883204,7.4037990429334,0.0059396664646101695
Marseille,total_no_colonial,0.25527315682413376,-26.75803327945382,0.02467203471803577
Marseille,imports_no_colonial,0.30795508219163636,-35.58572552652078,0.02928673321174963
Marseille,exports_no_colonial,0.11339760815065858,-21.343018500282597,0.021130605889372493
Rouen,total,0.5310101762477943,-28.536830293993518,0.026302579024793778
Rouen,imports,0.5254691058157808,-43.35887133922943,0.03439690685407152
Rouen,exports,0.29335327318438376,-5.521222548959958,0.012750976180501744
Rouen,total_no_colonial,0.5645968055824746,-53.90700837093077,0.03996076944400605
Rouen,imports_no_colonial,0.6087160496857692,-58.10832893471074,0.04199794790613403
Rouen,exports_no_colonial,0.4084708812820833,-48.600660011066054,0.036497944083528175
Bordeaux,total,0.49335085201265416,-47.21403156021802,0.0370979306385992
Bordeaux,imports,0.3912781980785396,-56.09012429956141,0.04158117102118564
Bordeaux,exports,0.4703465029482984,-38.26636555091065,0.03173197543992393
Bordeaux,total_no_colonial,0.2540205353834478,-71.91387588430322,0.05055643060952617
Bordeaux,imports_no_colonial,0.26181449208035834,-70.00578374243737,0.049061884246698564
Bordeaux,exports_no_colonial,0.1902715549435524,-68.19026886370048,0.048027338300451215
Nantes,total,0.04124540053436432,-4.125620422172453,0.012152458830581202
Nantes,imports,0.026301889674593237,-3.352493382003555,0.011236214479446564
Nantes,exports,0.03857055065651316,-3.2128631022207124,0.011273010780439019
Nantes,total_no_colonial,0.03372838407739576,-17.072437083591065,0.01886048493271357
Nantes,imports_no_colonial,0.06391241842204798,-28.961852048066497,0.025273630408348777
Nantes,exports_no_colonial,0.005364795412459045,0.018842378208992372,0.008651191712244415
Bayonne,total,0.01507848656462396,11.479555369092722,0.00296808112416373
Bayonne,imports,0.03547071643750088,6.268648697882224,0.005344835830275514
Bayonne,exports,0.013078756700165783,21.378553644514525,-0.0028943311344962375
Bayonne,total_no_colonial,0.2022645734422892,43.56802124358307,-0.016502425765225735
Bayonne,imports_no_colonial,0.009624436340913811,19.947541514464447,-0.003488636490938872
Bayonne,exports_no_colonial,0.5701769918256587,98.16346248663741,-0.047864758087465376
La Rochelle,total,0.022701026524250434,27.746495596471185,-0.006387153910467764
La Rochelle,imports,0.009125803589242643,23.1472736764009,-0.004243047306589203
La Rochelle,exports,0.029045968462789284,28.952588536387047,-0.007406868072444434
La Rochelle,total_no_colonial,0.01037266996470565,1.0651808739085702,0.007839276006762787
La Rochelle,imports_no_colonial,0.005123660274239938,4.654302552519029,0.005536313636931491
La Rochelle,exports_no_colonial,0.01676293170367904,-9.698166455008902,0.013335842748616353
